name,band,telescope,exptime,jd,date,filename,note
flat_20220903-0015Ha,Halpha,B&C,7.0,2459825.2915444444,2022-09-02T18:59:49.44,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0015Ha.fit,good
flat_20220903-0002OIII,OIII,B&C,30.0,2459825.2830569446,2022-09-02T18:47:36.12,/home/phys/astro8/MJArchive/octans/20220903/flat_20220903-0002OIII.fit,good
flats_20220904-0011_g,g,B&C,8.0,2459827.2741333335,2022-09-04T18:34:45.12,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0011_g.fit,over
Flat-0016uu,u,,60.0,2458725.693946759,2019-08-30T04:39:17,/home/phys/astro8/MJArchive/octans/20190830/Flat-0016uu.fit,lower
Flat-0016g,g,,5.0,2459684.2814077544,2022-04-14T18:45:13.63,/home/phys/astro8/MJArchive/octans/20220414/Flat-0016g.fit,good
Flat-000630,bad,bad,-999.0,-999.0,bad,bad,bad
Flat20220908-0012_g,g,B&C,5.0,2459830.779237616,2022-09-08T06:42:06.13,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0012_g.fit,good
flat-0008r,r,,30.0,2459608.8640019675,2022-01-29T08:44:09.77,/home/phys/astro8/MJArchive/octans/20220129/flat-0008r.fit,good
Flat-0001g,g,,30.0,2459682.274451389,2022-04-12T18:35:12.60,/home/phys/astro8/MJArchive/octans/20220412/Flat-0001g.fit,good
Flat-0014I,I,,0.1,2458725.6874074074,2019-08-30T04:29:52,/home/phys/astro8/MJArchive/octans/20190830/Flat-0014I.fit,good
Flat-0010B,B,,50.0,2458725.673460648,2019-08-30T04:09:47,/home/phys/astro8/MJArchive/octans/20190830/Flat-0010B.fit,good
flat-0026r,r,B&C,10.0,2459686.981845486,2022-04-17T11:33:51.45,/home/phys/astro8/MJArchive/octans/20220417/flat-0026r.fit,good
flat_20220903-0003i,i,B&C,3.0,2459825.2784880786,2022-09-02T18:41:01.37,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0003i.fit,good
flats_20220906-0002_i,i,B&C,0.5,2459828.7714613425,2022-09-06T06:30:54.26,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0002_i.fit,good
Flat-0012r,r,B&C,10.0,2459686.971112616,2022-04-17T11:18:24.13,/home/phys/astro8/MJArchive/octans/20220417/Flat-0012r.fit,good
Flat-0024ii,i,,0.1,2458725.7208564817,2019-08-30T05:18:02,/home/phys/astro8/MJArchive/octans/20190830/Flat-0024ii.fit,good
flats-0043V,V,,2.0,2459605.2130625,2022-01-25T17:06:48.60,/home/phys/astro8/MJArchive/octans/20220125/flats-0043V.fit,good
Flat-0007r,r,B&C,4.0,2459686.280953588,2022-04-16T18:44:34.39,/home/phys/astro8/MJArchive/octans/20220416/Flat-0007r.fit,lower
Flat-0001r,r,,6.0,2459684.2822875,2022-04-14T18:46:29.64,/home/phys/astro8/MJArchive/octans/20220414/Flat-0001r.fit,good
Flat-0011V,V,,5.0,2458725.6774189817,2019-08-30T04:15:29,/home/phys/astro8/MJArchive/octans/20190830/Flat-0011V.fit,good
Flats_20220908-0011_i,i,B&C,0.5,2459831.276603009,2022-09-08T18:38:18.50,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0011_i.fit,good
flats-0015V,V,,4.0,2459605.210686111,2022-01-25T17:03:23.28,/home/phys/astro8/MJArchive/octans/20220125/flats-0015V.fit,good
Flats-0004-i,i,,15.0,2459399.734703704,2021-07-04T05:37:58.40,/home/phys/astro8/MJArchive/octans/20210704/Flats-0004-i.fit,over
Flat-0006gg,g,,20.0,2458725.6572800926,2019-08-30T03:46:29,/home/phys/astro8/MJArchive/octans/20190830/Flat-0006gg.fit,over
flats-0051V,V,,2.0,2459605.2136418982,2022-01-25T17:07:38.66,/home/phys/astro8/MJArchive/octans/20220125/flats-0051V.fit,good
flat_20220903-0011Ha,Halpha,B&C,7.0,2459825.291043171,2022-09-02T18:59:06.13,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0011Ha.fit,good
flat-0028V,V,,6.0,2459606.2111390047,2022-01-26T17:04:02.41,/home/phys/astro8/MJArchive/octans/20220126/flat-0028V.fit,good
flat-0014g,g,,15.0,2459606.205135532,2022-01-26T16:55:23.71,/home/phys/astro8/MJArchive/octans/20220126/flat-0014g.fit,good
Flat-0002I,I,,0.2,2458725.6452893517,2019-08-30T03:29:13,/home/phys/astro8/MJArchive/octans/20190830/Flat-0002I.fit,over
Flat20220908-0001_SII,SII,B&C,30.0,2459830.774851042,2022-09-08T06:35:47.13,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0001_SII.fit,good
flat-0019r,r,,10.0,2459605.862568171,2022-01-26T08:42:05.89,/home/phys/astro8/MJArchive/octans/20220126/flat-0019r.fit,good
Flat-0013g,g,,12.0,2459682.278359954,2022-04-12T18:40:50.30,/home/phys/astro8/MJArchive/octans/20220412/Flat-0013g.fit,over
Flats_20220908-0009_g,g,B&C,2.0,2459831.2724311342,2022-09-08T18:32:18.05,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0009_g.fit,good
Flat20220908-0002_i,i,B&C,12.0,2459830.781760764,2022-09-08T06:45:44.13,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0002_i.fit,over
flats_20220906-0006_SII,SII,B&C,6.0,2459828.7646488426,2022-09-06T06:21:05.66,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0006_SII.fit,good
flats_20220906-0011_R_,R,B&C,2.0,2459828.774582639,2022-09-06T06:35:23.94,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0011_R_.fit,good
flats-0028V,V,,4.0,2459605.2119086804,2022-01-25T17:05:08.91,/home/phys/astro8/MJArchive/octans/20220125/flats-0028V.fit,over
flats-0012V,V,,5.0,2459605.2103005787,2022-01-25T17:02:49.97,/home/phys/astro8/MJArchive/octans/20220125/flats-0012V.fit,over
flat_20220903-0007OIII,OIII,B&C,20.0,2459825.2851358796,2022-09-02T18:50:35.74,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0007OIII.fit,good
Flat20220908-0015_g,g,B&C,5.0,2459830.7795855324,2022-09-08T06:42:36.19,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0015_g.fit,good
flats-0016V,V,,4.0,2459605.2107766205,2022-01-25T17:03:31.10,/home/phys/astro8/MJArchive/octans/20220125/flats-0016V.fit,good
flats_20220906-0012_i,i,B&C,0.8,2459828.772089236,2022-09-06T06:31:48.51,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0012_i.fit,good
flats-0013V,V,,5.0,2459605.2104033562,2022-01-25T17:02:58.85,/home/phys/astro8/MJArchive/octans/20220125/flats-0013V.fit,over
flat-0010V,V,,7.0,2459610.214089583,2022-01-30T17:08:17.34,/home/phys/astro8/MJArchive/octans/20220130/flat-0010V.fit,over
Flat-0008g,g,,18.0,2459682.277093866,2022-04-12T18:39:00.91,/home/phys/astro8/MJArchive/octans/20220412/Flat-0008g.fit,good
flat-0004,r,,5.0,2459606.858031134,2022-01-27T08:35:33.89,/home/phys/astro8/MJArchive/octans/20220127/flat-0004.fit,good
Flat-0021R,R,,0.6,2458725.7096296297,2019-08-30T05:01:52,/home/phys/astro8/MJArchive/octans/20190830/Flat-0021R.fit,good
flat_20220903-0003g,g,B&C,25.0,2459825.2731474536,2022-09-02T18:33:19.94,/home/phys/astro8/MJArchive/octans/20220903/flat_20220903-0003g.fit,good
Flat-0005g,g,,16.0,2459684.278895486,2022-04-14T18:41:36.57,/home/phys/astro8/MJArchive/octans/20220414/Flat-0005g.fit,good
flat-0003g,g,,30.0,2459608.8658194444,2022-01-29T08:46:46.80,/home/phys/astro8/MJArchive/octans/20220129/flat-0003g.fit,good
flat-0017r,r,,8.0,2459605.8622585647,2022-01-26T08:41:39.14,/home/phys/astro8/MJArchive/octans/20220126/flat-0017r.fit,good
flat_20220903-0006SII,SII,B&C,11.0,2459825.287190509,2022-09-02T18:53:33.26,/home/phys/astro8/MJArchive/octans/20220902/flat_20220903-0006SII.fit,good
flat-0023,r,,10.0,2459606.8609444443,2022-01-27T08:39:45.60,/home/phys/astro8/MJArchive/octans/20220127/flat-0023.fit,good
FlatDome-0010,bad,bad,-999.0,-999.0,bad,bad,bad
Flats_20220908-0007_g,g,B&C,2.0,2459831.2722936342,2022-09-08T18:32:06.17,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0007_g.fit,good
Flat-0010i,i,,30.0,2459682.7798305554,2022-04-13T06:42:57.36,/home/phys/astro8/MJArchive/octans/20220413/Flat-0010i.fit,good
flats_20220906-0010_V,V,B&C,7.0,2459828.7762233797,2022-09-06T06:37:45.70,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0010_V.fit,good
FlatDome-0008g,g,B&C,5.0,2459687.869292361,2022-04-18T08:51:46.86,/home/phys/astro8/MJArchive/octans/20220417/FlatDome-0008g.fit,good
Flats_20220908-0008_clear,Clear,B&C,12.0,2459831.262595718,2022-09-08T18:18:08.27,/home/phys/astro8/MJArchive/octans/20220908/Flats_20220908-0008_clear.fit,good
flat-0005g,g,,30.0,2459610.2037591436,2022-01-30T16:53:24.79,/home/phys/astro8/MJArchive/octans/20220130/flat-0005g.fit,good
Flat20220908-0008_g,g,B&C,5.0,2459830.7788021993,2022-09-08T06:41:28.51,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0008_g.fit,good
Flat-0006R,R,,1.0,2458725.656215278,2019-08-30T03:44:57,/home/phys/astro8/MJArchive/octans/20190830/Flat-0006R.fit,over
Flat-0011I,I,,0.1,2458725.6779050925,2019-08-30T04:16:11,/home/phys/astro8/MJArchive/octans/20190830/Flat-0011I.fit,good
Flat_g_20220829-0002g,g,B&C,10.0,2459821.2792738425,2022-08-29T18:42:09.26,/home/phys/astro8/MJArchive/octans/20220829/Flat_g_20220829-0002g.fit,good
flats-0001g,g,,30.0,2459605.1950267362,2022-01-25T16:40:50.31,/home/phys/astro8/MJArchive/octans/20220125/flats-0001g.fit,lower
